,Artist,Streams,Daily,As lead,Solo,As feature
308,Hailee Steinfeld,"5,834.3",1.385,"5,272.7","2,151.4",561.7
309,Ludacris,"5,813.5",3.012,"1,585.0",496.1,"4,228.5"
310,Matheus & Kauan,"5,753.0",3.829,"4,612.3","3,330.1","1,140.7"
311,Jess Glynne,"5,725.6",1.669,"2,440.1","2,142.1","3,285.4"
312,Wizkid,"5,724.6",3.228,"1,385.9",500.5,"4,338.7"
313,R3HAB,"5,719.6",3.165,"3,491.1",202.7,"2,228.5"
314,Eladio Carrion,"5,717.7",9.267,"4,192.5","1,409.5","1,525.2"
315,My Chemical Romance,"5,704.8",3.165,"5,704.8","5,673.0",
316,Glass Animals,"5,692.1",2.693,"5,680.6","5,256.6",11.5
317,Bring Me The Horizon,"5,684.9",3.561,"5,341.6","4,776.8",343.3
318,Lil Tecca,"5,682.6",4.225,"4,845.3","3,814.0",837.3
319,Kevin Gates,"5,676.6",1.788,"4,826.2","4,201.6",850.4
320,Mumford & Sons,"5,656.6",1.637,"5,492.6","5,279.7",163.9
321,MØ,"5,648.7",1.272,"1,516.9","1,226.0","4,131.8"
322,Bazzi,"5,646.2",1.623,"5,582.3","4,703.9",63.9
323,Alesso,"5,630.4",2.193,"3,260.1",685.1,"2,370.3"
324,Kid Ink,"5,612.0",1.260,"2,482.7",772.4,"3,129.3"
325,ScHoolboy Q,"5,609.6",1.587,"3,480.6","1,239.2","2,129.0"
326,Piso 21,"5,599.0",3.138,"4,934.0","1,126.6",665.0
327,RAF Camora,"5,595.8",2.615,"2,328.2","1,130.5","3,267.6"
328,Florence + The Machine,"5,538.1",3.212,"5,538.1","5,173.3",
329,Whitney Houston,"5,502.2",2.786,"4,635.6","4,124.8",866.6
330,Stray Kids,"5,495.0",7.985,"5,412.5","5,335.5",82.5
331,Mark Ronson,"5,485.3",2.043,"3,914.6",8.8,"1,570.7"
332,Carin Leon,"5,479.4",11.217,"4,137.5","3,101.2","1,341.9"
333,Bryant Myers,"5,470.8",4.087,"1,984.6",694.8,"3,486.2"
334,Quevedo,"5,467.2",13.036,"2,690.5","1,725.1","2,776.6"
335,Nickelback,"5,458.5",2.954,"5,458.5","5,418.0",
336,Maria Becerra,"5,427.9",7.939,"1,844.1","1,258.6","3,583.8"
337,Cheat Codes,"5,387.6",0.809,"3,519.3",188.5,"1,868.3"
338,Bruce Springsteen,"5,385.5",2.465,"5,325.8","5,315.9",59.7
339,Disclosure,"5,382.8",1.694,"5,191.8",539.6,191.0
340,League of Legends,"5,381.2",3.109,"2,298.1",331.2,"3,083.1"
341,Prince Royce,"5,368.3",4.158,"3,969.7","2,564.1","1,398.5"
342,Kings of Leon,"5,363.8",2.137,"5,363.8","5,349.2",
343,Five Finger Death Punch,"5,359.2",1.983,"5,359.2","5,004.1",
344,Alejandro Fernández,"5,356.2",2.673,"5,014.2","4,101.0",341.9
345,Stevie Wonder,"5,353.7",2.528,"4,972.7","4,803.5",381.0
346,Sfera Ebbasta,"5,341.8",4.097,"2,276.4","1,458.7","3,065.4"
347,Maná,"5,323.6",3.708,"5,323.2","4,068.2",0.4
348,Måneskin,"5,314.4",4.078,"5,309.0","5,145.1",5.4
349,Conan Gray,"5,310.2",4.853,"5,161.7","5,161.7",148.5
350,Kane Brown,"5,301.0",2.255,"3,637.1","2,334.0","1,663.9"
351,Avril Lavigne,"5,292.0",2.663,"5,187.1","4,922.8",104.9
352,Cartel De Santa,"5,284.6",3.758,"4,907.9","3,387.0",376.7
353,JID,"5,276.4",3.909,"1,382.8",713.7,"3,893.6"
354,Lizzo,"5,272.0",2.557,"5,142.5","4,177.6",129.4
355,Capital Bra,"5,252.4",1.038,"3,757.3","1,452.1","1,495.1"
356,Ski Mask The Slump God,"5,252.1",1.914,"3,601.8","2,448.5","1,650.3"
357,Wesley Safadão,"5,248.3",2.564,"3,579.1","2,213.6","1,669.3"
358,Brent Faiyaz,"5,243.5",7.508,"3,842.7","3,407.1","1,400.8"
359,The Script,"5,229.2",1.992,"5,209.2","3,984.8",20.0
360,Kelly Clarkson,"5,226.8",2.150,"4,950.9","4,707.9",275.9
361,Maiara & Maraisa,"5,212.9",2.470,"1,971.5","1,624.0","3,241.4"
362,Summer Walker,"5,210.1",4.408,"4,330.0","2,113.7",880.1
363,Vance Joy,"5,200.6",2.715,"5,056.0","4,963.2",144.6
364,Mora,"5,175.8",24.452,"3,924.9","1,243.9","1,250.9"
365,Galantis,"5,171.9",1.348,"4,547.4","2,566.2",624.5
366,Aventura,"5,170.7",3.605,"5,133.3","3,406.7",37.4
367,Aerosmith,"5,162.4",2.913,"4,928.5","4,921.6",233.9
368,Jason Mraz,"5,145.6",1.882,"4,986.6","4,220.8",159.0
369,iann dior,"5,144.2",1.511,"2,456.0","1,280.9","2,688.1"
370,NLE Choppa,"5,124.7",4.487,"4,055.5","2,507.6","1,069.2"
371,Giveon,"5,124.2",3.452,"2,864.7","2,816.6","2,259.5"
372,Amy Winehouse,"5,111.0",2.389,"4,749.6","4,550.4",361.4
373,Brytiago,"5,097.6",2.343,"1,869.5",130.8,"3,228.2"
374,Rex Orange County,"5,095.1",2.286,"4,709.4","4,131.9",385.7
375,Trey Songz,"5,089.5",1.120,"3,578.5","2,516.4","1,511.1"
376,Fifth Harmony,"5,086.0",1.105,"4,808.7","1,957.5",277.2
377,YNW Melly,"5,084.3",2.340,"4,624.3","3,033.7",460.0
378,Nate Dogg,"5,082.7",2.762,774.4,142.2,"4,308.4"
379,Calibre 50,"5,067.3",2.602,"4,620.3","4,244.8",447.0
380,Thomas Rhett,"5,057.8",1.781,"4,677.6","3,884.9",380.2
381,Lil Skies,"5,052.1",1.000,"4,099.4","2,497.3",952.6
382,Johnny Cash,"5,048.3",2.054,"4,437.8","3,446.8",610.5
383,Macklemore & Ryan Lewis,"5,037.9",2.241,"5,037.9",108.2,
384,Danny Ocean,"5,025.6",3.159,"3,982.8","3,822.5","1,042.8"
385,Billy Joel,"4,962.8",2.967,"4,918.0","4,886.3",44.8
386,H.E.R.,"4,950.1",2.337,"2,771.7","1,675.7","2,178.3"
387,Lost Frequencies,"4,944.2",3.649,"4,604.6","1,232.4",339.6
388,Ryan Lewis,"4,905.4",2.197,,,"4,905.4"
389,Backstreet Boys,"4,898.1",2.374,"4,606.2","4,582.6",291.8
390,Mustard,"4,896.9",1.669,"2,554.1",2.1,"2,342.8"
391,Alejandro Sanz,"4,875.3",2.396,"3,645.2","2,869.0","1,230.1"
392,Chris Stapleton,"4,869.8",4.515,"3,892.9","3,892.9",976.9
393,Timbaland,"4,862.5",3.450,"2,100.4",20.0,"2,762.2"
394,Glee Cast,"4,861.1",1.104,"4,861.1","4,099.4",
395,Nelly,"4,831.2",2.481,"3,965.1","1,431.9",866.1
396,Tate McRae,"4,826.8",3.204,"4,034.9","3,671.3",791.9
397,Lil Pump,"4,813.1",0.624,"2,465.1","2,014.8","2,348.0"
398,Ricardo Arjona,"4,806.9",2.743,"4,797.3","4,301.3",9.7
399,Bon Iver,"4,801.3",2.455,"3,422.5","3,422.5","1,378.8"
400,A$AP Ferg,"4,800.2",1.462,"3,029.0","1,047.9","1,771.2"
401,Hans Zimmer,"4,781.0",2.650,"4,447.6","2,956.2",333.4
402,Jason Aldean,"4,779.5",2.491,"4,554.1","4,142.5",225.4
403,TINI,"4,764.8",3.983,"3,608.9",914.4,"1,155.9"
404,Disturbed,"4,762.6",2.029,"4,762.6","4,728.6",
405,Burna Boy,"4,759.7",8.176,"2,652.4","1,893.3","2,107.3"
406,Nio Garcia,"4,754.8",1.381,"3,770.1",104.9,984.7
407,El Alfa,"4,754.8",4.455,"2,347.7",397.4,"2,407.1"
408,The Offspring,"4,753.0",3.322,"4,753.0","4,675.4",
409,Pearl Jam,"4,738.5",2.116,"4,738.5","4,727.3",
410,DJ Luian,"4,721.4",2.745,955.9,,"3,765.5"
411,Eagles,"4,709.7",2.714,"4,709.7","4,709.7",
412,Steve Lacy,"4,677.6",6.379,"3,918.6","3,843.4",759.0
413,The Strokes,"4,665.8",2.867,"4,665.8","4,645.3",
414,Anirudh Ravichander,"4,648.7",12.349,"3,681.7",956.6,967.0
415,Calum Scott,"4,641.8",2.899,"3,191.8","2,714.6","1,450.1"
416,Juanes,"4,617.1",2.721,"2,990.4","2,326.1","1,626.7"
417,James Bay,"4,561.0",1.291,"4,439.7","4,118.8",121.3
418,24kGoldn,"4,550.2",1.551,"3,613.8","1,168.1",936.4
419,George Ezra,"4,545.3",2.105,"4,545.3","4,406.7",
420,Three Days Grace,"4,545.1",2.194,"4,545.1","4,528.5",
421,Moneybagg Yo,"4,542.0",2.941,"2,711.5","1,409.1","1,830.5"
422,Flume,"4,525.8",1.275,"4,379.0","1,073.9",146.9
423,Fuerza Regida,"4,484.9",10.772,"3,708.0","1,650.6",776.8
424,Phil Collins,"4,477.6",2.536,"4,160.2","4,118.7",317.4
425,Mac DeMarco,"4,474.8",4.375,"4,432.6","4,432.6",42.3
426,Mambo Kingz,"4,474.5",2.630,6.6,0.9,"4,467.9"
427,Avenged Sevenfold,"4,470.1",2.549,"4,465.9","4,460.6",4.3
428,Alec Benjamin,"4,466.9",2.716,"4,284.9","4,136.7",182.0
429,Original Broadway Cast of Hamilton,"4,459.2",1.484,533.8,533.8,"3,925.4"
430,AFROJACK,"4,446.5",1.452,"1,428.5",68.9,"3,018.0"
431,KHEA,"4,423.5",2.573,"2,055.1",380.2,"2,368.4"
432,Tones And I,"4,415.1",1.260,"4,385.4","4,384.4",29.7
433,Dean Lewis,"4,403.6",2.468,"4,110.6","4,075.1",293.0
434,PnB Rock,"4,395.3",0.938,"2,009.6","1,117.7","2,385.7"
435,X Ambassadors,"4,392.0",1.532,"2,446.7","1,950.1","1,945.3"
436,B.o.B,"4,370.2",2.164,"2,989.6",437.8,"1,380.7"
437,Pablo Alborán,"4,343.1",2.019,"3,582.1","2,697.9",761.0
438,Rich The Kid,"4,338.0",1.166,"2,363.8","1,172.2","1,974.2"
439,Dan + Shay,"4,337.2",1.693,"4,254.5","3,059.2",82.7
440,Lunay,"4,326.5",1.232,"2,499.5",230.8,"1,827.1"
441,benny blanco,"4,315.9",1.409,"3,434.3",3.3,881.7
442,Noriel,"4,312.7",2.341,591.4,138.5,"3,721.3"
443,Ricky Martin,"4,309.5",1.630,"3,670.0","1,820.5",639.5
444,Jay Wheeler,"4,309.1",3.620,"2,532.6",440.8,"1,776.5"
445,Bryan Adams,"4,305.1",4.524,"4,097.8","3,726.2",207.3
446,LANY,"4,301.0",1.777,"3,756.1","3,694.6",544.9
447,Céline Dion,"4,285.5",1.988,"4,098.8","3,632.1",186.6
448,Lil Mosey,"4,275.0",0.995,"3,688.4","2,998.9",586.6
449,Train,"4,268.2",1.839,"4,014.3","3,888.1",253.9
450,Lin-Manuel Miranda,"4,267.7",1.678,"1,470.8",117.5,"2,797.0"
451,Cigarettes After Sex,"4,247.9",5.854,"4,247.9","4,247.9",
452,Bee Gees,"4,238.4",2.737,"4,175.4","4,076.3",63.0
453,Dire Straits,"4,225.2",2.622,"4,225.2","4,225.2",
454,MGMT,"4,218.4",1.939,"2,923.5","2,911.3","1,294.9"
455,Armin van Buuren,"4,214.6",3.134,"3,692.6",810.7,522.0
456,Daya,"4,207.5",1.014,"1,788.0","1,678.2","2,419.5"
457,Jax Jones,"4,199.8",1.816,"3,010.1",59.2,"1,189.7"
458,Cazzu,"4,190.9",2.381,"1,075.5",512.1,"3,115.4"
459,Lukas Graham,"4,189.7",1.501,"3,928.0","3,682.3",261.6
460,Outkast,"4,171.6",2.381,"3,996.3","3,612.7",175.3
461,Dave,"4,171.2",8.199,"3,704.5","1,560.1",466.7
462,Joan Sebastian,"4,162.1",3.106,"4,097.6","3,463.2",64.5
